啊	100
阿	100
埃	100
挨	100
哎	100
唉	100
哀	100
皑	100
癌	100
蔼	100
矮	100
艾	100
碍	100
爱	100
隘	100
鞍	100
氨	100
安	100
俺	100
按	100
暗	100
岸	100
胺	100
案	100
肮	100
昂	100
盎	100
凹	100
敖	100
熬	100
翱	100
袄	100
傲	100
奥	100
懊	100
澳	100
芭	100
捌	100
扒	100
叭	100
吧	100
笆	100
八	100
疤	100
巴	100
拔	100
跋	100
靶	100
把	100
耙	100
坝	100
霸	100
罢	100
爸	100
白	100
柏	100
百	100
摆	100
佰	100
败	100
拜	100
稗	100
斑	100
班	100
搬	100
扳	100
般	100
颁	100
板	100
版	100
扮	100
拌	100
伴	100
瓣	100
半	100
办	100
绊	100
邦	100
帮	100
梆	100
榜	100
膀	100
绑	100
棒	100
磅	100
蚌	100
镑	100
傍	100
谤	100
苞	100
胞	100
包	100
褒	100
剥	100
薄	100
雹	100
保	100
堡	100
饱	100
宝	100
抱	100
报	100
暴	100
豹	100
鲍	100
爆	100
杯	100
碑	100
悲	100
卑	100
北	100
辈	100
背	100
贝	100
钡	100
倍	100
狈	100
备	100
惫	100
焙	100
被	100
奔	100
苯	100
本	100
笨	100
崩	100
绷	100
甭	100
泵	100
蹦	100
迸	100
逼	100
鼻	100
比	100
鄙	100
笔	100
彼	100
碧	100
蓖	100
蔽	100
毕	100
毙	100
毖	100
币	100
庇	100
痹	100
闭	100
敝	100
弊	100
必	100
辟	100
壁	100
臂	100
避	100
陛	100
鞭	100
边	100
编	100
贬	100
扁	100
便	100
变	100
卞	100
辨	100
辩	100
辫	100
遍	100
标	100
彪	100
膘	100
表	100
鳖	100
憋	100
别	100
瘪	100
彬	100
斌	100
濒	100
滨	100
宾	100
摈	100
兵	100
冰	100
柄	100
丙	100
秉	100
饼	100
炳	100
病	100
并	100
玻	100
菠	100
播	100
拨	100
钵	100
波	100
博	100
勃	100
搏	100
铂	100
箔	100
伯	100
帛	100
舶	100
脖	100
膊	100
渤	100
泊	100
驳	100
捕	100
卜	100
哺	100
补	100
埠	100
不	100
布	100
步	100
簿	100
部	100
怖	100
擦	100
猜	100
裁	100
材	100
才	100
财	100
睬	100
踩	100
采	100
彩	100
菜	100
蔡	100
餐	100
参	100
蚕	100
残	100
惭	100
惨	100
灿	100
苍	100
舱	100
仓	100
沧	100
藏	100
操	100
糙	100
槽	100
曹	100
草	100
厕	100
策	100
侧	100
册	100
测	100
层	100
蹭	100
插	100
叉	100
茬	100
茶	100
查	100
碴	100
搽	100
察	100
岔	100
差	100
诧	100
拆	100
柴	100
豺	100
搀	100
掺	100
蝉	100
馋	100
谗	100
缠	100
铲	100
产	100
阐	100
颤	100
昌	100
猖	100
场	100
尝	100
常	100
长	100
偿	100
肠	100
厂	100
敞	100
畅	100
唱	100
倡	100
超	100
抄	100
钞	100
朝	100
嘲	100
潮	100
巢	100
吵	100
炒	100
车	100
扯	100
撤	100
掣	100
彻	100
澈	100
郴	100
臣	100
辰	100
尘	100
晨	100
忱	100
沉	100
陈	100
趁	100
衬	100
撑	100
称	100
城	100
橙	100
成	100
呈	100
乘	100
程	100
惩	100
澄	100
诚	100
承	100
逞	100
骋	100
秤	100
吃	100
痴	100
持	100
匙	100
池	100
迟	100
弛	100
驰	100
耻	100
齿	100
侈	100
尺	100
赤	100
翅	100
斥	100
炽	100
充	100
冲	100
虫	100
崇	100
宠	100
抽	100
酬	100
畴	100
踌	100
稠	100
愁	100
筹	100
仇	100
绸	100
瞅	100
丑	100
臭	100
初	100
出	100
橱	100
厨	100
躇	100
锄	100
雏	100
滁	100
除	100
楚	100
础	100
储	100
矗	100
搐	100
触	100
处	100
揣	100
川	100
穿	100
椽	100
传	100
船	100
喘	100
串	100
疮	100
窗	100
幢	100
床	100
闯	100
创	100
吹	100
炊	100
捶	100
锤	100
垂	100
春	100
椿	100
醇	100
唇	100
淳	100
纯	100
蠢	100
戳	100
绰	100
疵	100
茨	100
磁	100
雌	100
辞	100
慈	100
瓷	100
词	100
此	100
刺	100
赐	100
次	100
聪	100
葱	100
囱	100
匆	100
从	100
丛	100
凑	100
粗	100
醋	100
簇	100
促	100
蹿	100
篡	100
窜	100
摧	100
崔	100
催	100
脆	100
瘁	100
粹	100
淬	100
翠	100
村	100
存	100
寸	100
磋	100
撮	100
搓	100
措	100
挫	100
错	100
搭	100
达	100
答	100
瘩	100
打	100
大	100
呆	100
歹	100
傣	100
戴	100
带	100
殆	100
代	100
贷	100
袋	100
待	100
逮	100
怠	100
耽	100
担	100
丹	100
单	100
郸	100
掸	100
胆	100
旦	100
氮	100
但	100
惮	100
淡	100
诞	100
弹	100
蛋	100
当	100
挡	100
党	100
荡	100
档	100
刀	100
捣	100
蹈	100
倒	100
岛	100
祷	100
导	100
到	100
稻	100
悼	100
道	100
盗	100
德	100
得	100
的	100
蹬	100
灯	100
登	100
等	100
瞪	100
凳	100
邓	100
堤	100
低	100
滴	100
迪	100
敌	100
笛	100
狄	100
涤	100
翟	100
嫡	100
抵	100
底	100
地	100
蒂	100
第	100
帝	100
弟	100
递	100
缔	100
颠	100
掂	100
滇	100
碘	100
点	100
典	100
靛	100
